policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std,load_name,load_factor,task_min_bits,task_max_bits,avg_task_mbits
greedy,-166.08739999999997,1.4248697712422824,166.0874,1.4248697712422722,0.5364499999999999,0.004804685213414086,0.26089999999999997,0.0009695359714832654,4.614927723991872,0.026642275562451214,load_01,0.7,1050000.0,4200000.0,2.625
local,-231.65950000000018,1.2459708313198838,231.6595,1.2459708313198998,0.7437,0.004873140671066247,0.0,0.0,4.950408114886283,0.004165316486532927,load_01,0.7,1050000.0,4200000.0,2.625
random,-160.29399999999998,1.9365784259874237,160.29399999999998,1.9365784259874426,0.36572499999999997,0.01513293180451164,0.49774999999999997,0.0186748493969831,4.051260437285901,0.20363730313415496,load_01,0.7,1050000.0,4200000.0,2.625
mappo,-141.83719999999997,2.8611106514778553,141.8372,2.8611106514778495,0.111525,0.011320032022922904,0.8268,0.01462267075468772,1.3528302922278643,0.11235826148995161,load_02,0.75,1125000.0,4500000.0,2.8125
pruned_p10,-140.91952499999996,2.643957200982091,140.919525,2.643957200982083,0.148425,0.011744174087606163,0.7760750000000001,0.016165182492010415,1.7101512814432382,0.11005178130707505,load_02,0.75,1125000.0,4500000.0,2.8125
distilled_p10,-141.886,2.8717008135423887,141.886,2.8717008135423856,0.11102500000000001,0.011257469742353296,0.8276249999999998,0.01441624517688291,1.3472490337699652,0.11033123312159211,load_02,0.75,1125000.0,4500000.0,2.8125
pruned_p25,-141.666025,2.7232145376604078,141.666025,2.723214537660408,0.12117499999999998,0.009944879335617905,0.8111999999999999,0.01353920233987217,1.4769290778398516,0.10834484217945435,load_02,0.75,1125000.0,4500000.0,2.8125
distilled_p25,-141.835925,2.891673183578156,141.835925,2.8916731835781517,0.11137499999999999,0.010903697767271433,0.8270000000000001,0.013858661551535196,1.3488749653309582,0.10803766250840298,load_02,0.75,1125000.0,4500000.0,2.8125
pruned_p40,-143.017125,3.1406603132343096,143.017125,3.140660313234303,0.0799,0.012338557452149745,0.867475,0.01762187915632156,1.0548790899991989,0.10968318183148063,load_02,0.75,1125000.0,4500000.0,2.8125
distilled_p40,-141.88,2.8767490657858925,141.88,2.8767490657858916,0.11084999999999999,0.011590513362228612,0.8279,0.014657421328460204,1.3428226428329944,0.11355079953982626,load_02,0.75,1125000.0,4500000.0,2.8125
pruned_p50,-141.62175,2.6737548036422356,141.62174999999996,2.673754803642249,0.1254,0.009458593975850745,0.8047249999999998,0.013659451855766402,1.526945236834884,0.10348082079145923,load_02,0.75,1125000.0,4500000.0,2.8125
distilled_p50,-141.86737499999998,2.970101495003999,141.86737499999998,2.9701014950040006,0.11019999999999999,0.012438247464976728,0.828525,0.01567380378210726,1.3375455911487342,0.11870642784882678,load_02,0.75,1125000.0,4500000.0,2.8125
offload,-156.99545,3.694253136291563,156.99545,3.694253136291557,0.01095,0.0033593154064481654,1.0,0.0,0.5935857180804014,0.008867307804991674,load_02,0.75,1125000.0,4500000.0,2.8125
greedy,-169.083725,1.3437264530495183,169.083725,1.3437264530495039,0.5463,0.004749736834815172,0.26175,0.001172603939955859,4.602999984574318,0.027684312857307256,load_02,0.75,1125000.0,4500000.0,2.8125
local,-235.35960000000014,1.2036781764657596,235.3596,1.203678176465788,0.7581249999999998,0.004658661288396057,0.0,0.0,4.950408114886283,0.004165316486532927,load_02,0.75,1125000.0,4500000.0,2.8125
random,-163.29382499999997,1.8500244662233662,163.293825,1.850024466223353,0.369525,0.014395941268288085,0.503175,0.018571163803057684,3.945673297548294,0.2602879862835411,load_02,0.75,1125000.0,4500000.0,2.8125
mappo,-143.40212499999998,2.8489296043645966,143.40212499999998,2.8489296043645926,0.12932499999999997,0.01176650436620834,0.8131499999999999,0.015262781528935012,1.4470313627839086,0.12307389855265052,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
pruned_p10,-142.90785,2.4160934253459625,142.90784999999997,2.416093425345964,0.1672,0.011631208019806025,0.762275,0.015789019127228906,1.8234874478727583,0.10911942609465795,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
distilled_p10,-143.42315,2.8494288927783424,143.42315,2.8494288927783393,0.12897499999999998,0.011735869162529035,0.8136999999999999,0.015303104260247323,1.445124157565832,0.12241887912789427,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
pruned_p25,-143.41809999999998,2.729217186758866,143.41809999999998,2.7292171867588713,0.13882500000000003,0.009687008052025143,0.797625,0.014324912739699328,1.5932490454405548,0.11975488775104998,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
distilled_p25,-143.457025,2.844554742068611,143.457025,2.844554742068607,0.129125,0.011514257466289347,0.8136749999999999,0.014904718212700294,1.4457333698540924,0.11877988510841501,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
pruned_p40,-144.0951,2.987189438251287,144.0951,2.987189438251281,0.10392500000000002,0.013500023148128305,0.844225,0.0186495475816439,1.214458379355073,0.12850423241492512,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
distilled_p40,-143.43595,2.8321803389791373,143.43595,2.8321803389791405,0.1284,0.01110472872248575,0.81465,0.014335358384079556,1.4442186550855638,0.11289893934833937,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
pruned_p50,-143.468325,2.5844122834069996,143.468325,2.584412283407003,0.141975,0.009769499731306612,0.7923749999999999,0.014272460369536853,1.6245499713599683,0.10720461550523046,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
distilled_p50,-143.542675,2.841162944222842,143.542675,2.8411629442228397,0.127675,0.011222215690317129,0.816075,0.014422226769816098,1.4353246463418006,0.11123104533370481,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
offload,-157.8612,3.638942007644535,157.8612,3.63894200764453,0.017175,0.00371491924542109,1.0,0.0,0.5935857180804014,0.008867307804991674,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
